,sid,age,video,gender,parent_ed,condition,types,types2,tokens,tokens2,TTR,TTR2,MTLD,MTLD2
0,090618_6,0.322994128833333,Warneken,F,,con,125,129.0,245,245.0,0.510204081632653,0.5265306122448979,28.114282358468397,28.114282358468405
1,101118_4,0.172309197833334,color,F,6.0,exp,91,92.0,274,274.0,0.33211678832116803,0.3357664233576642,23.264527889172395,23.264527889172438
2,101118_5,-0.504403131166667,Feigenson,M,6.0,con,70,99.0,240,315.0,0.29166666666666696,0.3142857142857143,11.6021969399765,14.52492503748126
3,121317_1,-0.211252446166666,Hamlin,F,4.0,con,91,92.0,191,191.0,0.476439790575916,0.4816753926701571,22.6494657696874,22.649465769687374
4,101218_1,0.265459882833333,Lany,F,4.0,con,91,92.0,219,219.0,0.415525114155251,0.4200913242009132,14.8642533936652,14.864253393665159
5,113018_1,-0.18111546016666602,big or small,M,4.0,exp,76,77.0,299,299.0,0.254180602006689,0.25752508361204013,16.173976608187097,16.173976608187132
6,110218_4,-0.348238747166667,puzzle,F,3.0,exp,89,91.0,228,228.0,0.39035087719298206,0.3991228070175439,28.8772912423625,28.877291242362524
7,082918_1,-0.0386497061666666,puzzle,F,4.0,exp,122,125.0,313,313.0,0.38977635782747605,0.3993610223642173,37.278034292860106,37.27803429286006
8,110818_5,0.328473580833333,Lany,M,6.0,con,36,70.0,55,146.0,0.654545454545455,0.4794520547945205,17.6273199703044,14.919401041666667
9,083018_6,-0.0989236791666666,Hamlin,M,6.0,con,83,84.0,195,195.0,0.42564102564102596,0.4307692307692308,29.618024132729996,29.618024132730014
10,110918_2,0.0873776908333335,Adolph,F,4.0,con,57,119.0,96,244.0,0.59375,0.48770491803278687,30.837235437347804,46.9931718155792
11,110918_3,-0.0194716241666666,give_me_toy,M,6.0,exp,120,121.0,362,363.0,0.33149171270718203,0.3333333333333333,30.1666666666667,30.25
12,091118_8,-0.0852250491666666,Hamlin,M,4.0,con,101,103.0,223,223.0,0.45291479820627795,0.4618834080717489,24.0222841225627,24.022284122562677
13,110218_8,-0.219471624166667,big or small,M,3.0,exp,79,79.0,346,346.0,0.22832369942196498,0.22832369942196531,10.5757575757576,10.575757575757576
14,090418_3,0.213405087833333,Lany,F,6.0,con,82,87.0,261,261.0,0.314176245210728,0.3333333333333333,14.4097451917187,14.40974519171873
15,090418_2,0.257240704833333,color,M,6.0,exp,92,93.0,275,275.0,0.33454545454545503,0.3381818181818182,34.608314479638,34.60831447963801
16,091818_1,0.12299412883333301,Adolph,F,4.0,con,106,110.0,226,226.0,0.46902654867256605,0.48672566371681414,22.512488101441104,22.512488101441086
17,102618_5,-0.364677103166666,give_me_toy,F,,exp,92,91.0,271,271.0,0.339483394833948,0.33579335793357934,20.4586856941508,20.45868569415081
18,110918_6,-0.0907045011666665,big or small,M,,exp,62,79.0,87,129.0,0.71264367816092,0.6124031007751938,51.2772988505747,38.5619997158149
19,091118_3,0.30381604683333396,Adolph,M,6.0,con,130,129.0,265,265.0,0.490566037735849,0.4867924528301887,38.3671941830624,38.367194183062445
20,102518_6,0.0106653618333334,color,,,exp,88,92.0,292,292.0,0.301369863013699,0.3150684931506849,20.2309523809524,20.23095238095238
21,083018_1,-0.38111546016666703,Hamlin,M,6.0,con,64,64.0,142,142.0,0.45070422535211296,0.4507042253521127,22.264612954186397,22.264612954186415
22,110918_5,0.177788649833333,Adolph,M,4.0,con,85,84.0,165,166.0,0.515151515151515,0.5060240963855421,20.75,18.555555555555557
23,110818_3,-0.17837573416666697,puzzle,M,4.0,exp,68,116.0,111,287.0,0.6126126126126129,0.40418118466898956,23.5015486725664,31.102400508710982
24,110918_4,-0.167416830166667,give_me_toy,F,6.0,exp,36,74.0,62,316.0,0.580645161290323,0.23417721518987342,10.1886428982174,10.869039423476021
25,092018_5,0.281898238833334,Adolph,F,4.0,con,105,105.0,194,194.0,0.5412371134020619,0.5412371134020618,30.178571428571402,28.71137640449438
26,092018_4,-0.18111546016666602,Feigenson,F,4.0,con,76,76.0,127,127.0,0.598425196850394,0.5984251968503937,21.3590909090909,21.35909090909091
27,101718_2,0.24628180083333304,color,M,6.0,exp,52,52.0,170,170.0,0.30588235294117605,0.3058823529411765,16.7543352601156,16.754335260115607
28,113018_2,0.298336594833333,Warneken,M,4.0,con,103,103.0,284,284.0,0.36267605633802796,0.3626760563380282,16.672574836822,16.67257483682197
29,111517_3,0.0764187868333335,big_small,F,4.0,exp,104,109.0,353,353.0,0.294617563739377,0.3087818696883853,29.144864746972605,29.14486474697258
30,111517_2,0.0462818008333334,give_me_toy,F,,exp,99,99.0,313,313.0,0.31629392971246,0.31629392971246006,20.458441999688002,20.458441999687956
31,022619_1,-0.0797455971666665,Feigenson,F,6.0,con,39,63.0,75,135.0,0.52,0.4666666666666667,7.7,9.041666666666668
32,102818_1,0.10929549883333302,color,F,,exp,52,53.0,155,155.0,0.335483870967742,0.3419354838709677,16.1237596471885,16.123759647188535
33,091118_4,-0.487964775166666,Gopnik,F,3.0,con,89,89.0,219,219.0,0.40639269406392703,0.4063926940639269,21.1215639810427,21.121563981042655
34,120117_2,-0.353718199166666,big or small,M,6.0,exp,74,74.0,211,211.0,0.35071090047393394,0.35071090047393366,13.9810960281549,13.981096028154852
35,102618_2,-0.0413894321666666,Gopnik,M,6.0,con,103,101.0,210,221.0,0.49047619047619,0.45701357466063347,18.807757764856,15.114698596201487
36,110218_9,0.22162426583333303,orchestra,M,6.0,exp,72,73.0,250,250.0,0.28800000000000003,0.292,19.3600462241873,19.360046224187307
37,090618_4,-0.279745597166666,Feigenson,M,6.0,con,54,54.0,98,100.0,0.551020408163265,0.54,10.272727272727302,9.583333333333334
38,101818_1,-0.19481409016666698,give_me_toy,M,6.0,exp,93,93.0,335,335.0,0.27761194029850705,0.27761194029850744,16.4612068965517,16.461206896551722
39,101118_2,-0.394814090166667,Feigenson,F,4.0,con,85,85.0,206,221.0,0.41262135922330107,0.38461538461538464,6.079861111111111,5.332267441860465
40,110818_2,0.207925635833333,Lany,M,,con,44,44.0,83,83.0,0.530120481927711,0.5301204819277109,12.5574433656958,12.557443365695793
41,101218_6,0.290117416833333,big_small,F,6.0,exp,53,54.0,251,251.0,0.21115537848605603,0.2151394422310757,12.8802631578947,12.880263157894738
42,101218_7,-0.0824853231666665,Gopnik,F,6.0,con,80,80.0,130,130.0,0.615384615384615,0.6153846153846154,26.726708074534198,26.72670807453416
43,112217_2,0.0243639918333334,big_small,F,5.0,exp,132,136.0,323,335.0,0.408668730650155,0.4059701492537313,31.4762784090909,29.820528068506185
44,110218_2,0.00244618383333339,orchestra,F,6.0,exp,109,111.0,229,229.0,0.47598253275109204,0.4847161572052402,28.625,28.625
45,110218_3,0.155870841833333,orchestra,M,6.0,exp,54,54.0,108,108.0,0.5,0.5,28.038461538461497,28.03846153846154
46,091818_3,-0.164677103166667,puzzle,M,4.0,exp,70,70.0,140,140.0,0.5,0.5,24.6601265822785,24.66012658227848
47,091818_2,-0.192074364166666,big or small,F,6.0,exp,68,68.0,176,176.0,0.38636363636363596,0.38636363636363635,23.318903318903303,23.077712233906126
48,113018_4,-0.219471624166667,puzzle,F,3.0,exp,81,82.0,191,191.0,0.424083769633508,0.4293193717277487,21.7262277951933,21.72622779519331
49,091118_1,-0.0715264191666665,Gopnik,M,6.0,con,128,132.0,296,299.0,0.432432432432432,0.4414715719063545,33.0870147255689,27.315499254843516
50,083018_4,0.0353228968333335,Warneken,M,4.0,con,55,57.0,118,118.0,0.466101694915254,0.4830508474576271,23.509567516188397,23.509567516188437
51,011118_1,0.0161448138333333,Lany,F,6.0,con,48,48.0,85,85.0,0.5647058823529411,0.5647058823529412,15.798741129061,15.798741129061018
52,102518_3,-0.164677103166667,Hamlin,M,4.0,con,126,128.0,318,318.0,0.39622641509434,0.4025157232704403,22.761016963571702,22.76101696357171
53,101218_2,0.22162426583333303,Adolph,M,6.0,con,93,94.0,194,194.0,0.479381443298969,0.4845360824742268,29.2012649524404,29.201264952440432
54,101218_3,-0.0413894321666666,Gopnik,M,4.0,con,105,107.0,237,237.0,0.44303797468354406,0.45147679324894513,17.2526196984758,17.25261969847581
55,110218_7,0.24628180083333304,orchestra,M,,exp,92,94.0,248,248.0,0.37096774193548404,0.3790322580645161,12.5223684210526,12.522368421052631
56,032219_1,0.0325831698333334,Warneken,M,6.0,con,74,74.0,127,127.0,0.582677165354331,0.5826771653543307,40.288321167883204,40.28832116788321
57,090518_1,0.202446183833333,Adolph,F,4.0,con,81,83.0,172,172.0,0.47093023255814,0.48255813953488375,20.3055555555556,20.305555555555557
58,090618_5,-0.367416830166666,Feigenson,F,4.0,con,123,124.0,255,255.0,0.48235294117647104,0.48627450980392156,27.2490974729242,27.249097472924184
59,101818_4,-0.3920743641666671,big or small,M,6.0,exp,86,87.0,243,243.0,0.35390946502057596,0.35802469135802467,14.3949438202247,14.39494382022472
60,101818_5,-0.189334638166667,puzzle,F,,exp,91,92.0,202,202.0,0.450495049504951,0.45544554455445546,19.262556663644602,19.262556663644602
61,110818_1,-0.140019569166667,big or small,F,4.0,exp,74,75.0,270,270.0,0.27407407407407397,0.2777777777777778,20.0274725274725,20.027472527472526
62,101218_5,0.213405087833333,color,M,4.0,exp,102,106.0,299,299.0,0.34113712374581895,0.35451505016722407,17.207729468599,17.207729468599034
63,101218_4,0.243542074833333,big_small,M,,exp,90,92.0,267,267.0,0.337078651685393,0.3445692883895131,15.3892314990512,15.389231499051233
64,110218_1,0.306555772833333,orchestra,F,6.0,exp,41,41.0,183,183.0,0.224043715846995,0.22404371584699453,3.8125,3.8125
65,110418_3,-0.123581213166666,give_me_toy,,,exp,92,93.0,383,386.0,0.240208877284595,0.24093264248704663,13.11866359447,12.16813294232649
66,090618_3,0.142172211833334,Warneken,M,6.0,con,59,60.0,120,120.0,0.4916666666666671,0.5,10.1145518229581,10.114551822958127
67,101818_2,0.196966731833333,big_small,F,,exp,120,124.0,411,411.0,0.291970802919708,0.30170316301703165,20.4576901659428,20.457690165942758
68,091318_2,-0.224951076166667,give_me_toy,M,4.0,exp,85,85.0,221,221.0,0.384615384615385,0.38461538461538464,20.7513289829699,20.75132898296992
69,110818_6,0.377788649833333,Warneken,F,3.0,con,65,67.0,117,123.0,0.555555555555556,0.5447154471544715,9.81818181818182,9.123626373626374
70,090418_6,0.42436399183333395,Warneken,M,5.0,con,82,83.0,203,203.0,0.403940886699507,0.4088669950738916,23.0866420437058,23.08664204370576
71,022619_3,0.344911937833333,Lany,M,4.0,con,98,100.0,216,216.0,0.45370370370370394,0.46296296296296297,24.9558212058212,24.95582120582121
72,022619_2,0.265459882833333,color,M,4.0,exp,52,52.0,116,116.0,0.448275862068966,0.4482758620689655,13.0,13.0
73,091818_4,-0.389334638166666,Hamlin,M,6.0,con,75,77.0,166,166.0,0.451807228915663,0.463855421686747,10.4156862745098,10.415686274509804
74,102818_2,0.4462818008333329,orchestra,M,,exp,39,39.0,63,63.0,0.6190476190476191,0.6190476190476191,10.5,10.5
75,091118_7,-0.12084148716666698,Gopnik,M,6.0,con,97,97.0,213,213.0,0.455399061032864,0.45539906103286387,29.2362292879534,29.236229287953428
76,102618_1,0.0791585128333334,big_small,F,6.0,exp,81,83.0,306,306.0,0.264705882352941,0.27124183006535946,25.0890657084189,25.089065708418893
77,102518_5,-0.41125244616666706,Feigenson,F,6.0,con,74,77.0,170,176.0,0.43529411764705894,0.4375,14.6106577643622,15.990222064509707
78,102518_4,-0.189334638166667,Hamlin,M,4.0,con,119,120.0,203,203.0,0.586206896551724,0.5911330049261084,55.5028424720337,55.50284247203375
79,113018_3,-0.230430528166667,puzzle,M,6.0,exp,77,79.0,141,141.0,0.5460992907801421,0.5602836879432624,21.821428571428598,21.82142857142857
80,092018_6,0.46545988283333295,big_small,F,6.0,exp,113,113.0,316,316.0,0.357594936708861,0.3575949367088608,18.7098296269487,18.709829626948697
81,101718_1,-0.167416830166667,Gopnik,M,4.0,con,91,94.0,322,322.0,0.282608695652174,0.2919254658385093,16.2996750232126,16.29967502321263
82,090618_1,0.0079256358333335,Lany,M,6.0,con,155,158.0,357,357.0,0.43417366946778707,0.4425770308123249,50.222376697200396,50.22237669720039
83,110418_4,0.29285714283333397,orchestra,M,4.0,exp,37,37.0,59,59.0,0.6271186440677969,0.6271186440677966,10.8,10.8
